,title,purpose,total_enrollment,last_update_date,what_you_get,prerequisites,description,five_stars,four_stars,three_stars,two_stars,one_star,description_clean,link,seller,price,original_price,lectures,hours,level
0,Machine Learning A Z   Hands On Python   R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,833575,12/2021,Master Machine Learning on Python   R Have a great intuition of many Machine Learning models Make accurate predictions Make powerful analysis Make robust Machine Learning models Create strong added value to your business Use Machine Learning for personal purpose Handle specific topics like Reinforcement Learning  NLP and Deep Learning Handle advanced techniques like Dimensionality Reduction Know which Machine Learning model to choose for each type of problem Build an army of powerful Machine Learning models and know how to combine them to solve any problem Show more,Requirements Just some high school mathematics level ,"Description Interested in the field of Machine Learning? Then this course is for you! This course has been designed by two professional Data Scientists so that we can share our knowledge and help you learn complex theory, algorithms, and coding libraries in a simple way. We will walk you step-by-step into the World of Machine Learning. With every tutorial, you will develop new skills and improve your understanding of this challenging yet lucrative sub-field of Data Science. This course is fun and exciting, but at the same time, we dive deep into Machine Learning. It is structured the following way: Part 1 - Data Preprocessing Part 2 - Regression: Simple Linear Regression, Multiple Linear Regression, Polynomial Regression, SVR, Decision Tree Regression, Random Forest Regression  Show more",54%,34%,9%,2%,1%,interested field machine learning course course designed two professional data scientist share knowledge help learn complex theory algorithm coding library simple way walk step step world machine learning every tutorial develop new skill improve understanding challenging yet lucrative sub field data science course fun exciting time dive deep machine learning structured following way part 1 data preprocessing part 2 regression simple linear regression multiple linear regression polynomial regression svr decision tree regression random forest regression show,https://www.udemy.com/course/machinelearning/,Kirill Eremenko  Hadelin de Ponteves  Ligency I Team  SuperDataScience Support  Ligency Team,13.99,84.99,320,44.5 ,All Levels
1,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",501618,5/2020,Use Python for Data Science and Machine Learning Use Spark for Big Data Analysis Implement Machine Learning Algorithms Learn to use NumPy for Numerical Data Learn to use Pandas for Data Analysis Learn to use Matplotlib for Python Plotting Learn to use Seaborn for statistical plots Use Plotly for interactive dynamic visualizations Use SciKit Learn for Machine Learning Tasks K Means Clustering Logistic Regression Linear Regression Random Forest and Decision Trees Natural Language Processing and Spam Filters Show more,Requirements Some programming experience Admin permissions to download files,"Description Are you ready to start your path to becoming a Data Scientist!  This comprehensive course will be your guide to learning how to use the power of Python to analyze data, create beautiful visualizations, and use powerful machine learning algorithms! Data Scientist has been ranked the number one job on Glassdoor and the average salary of a data scientist is over $120,000 in the United States according to Indeed! Data Science is a rewarding career that allows you to solve some of the world's most interesting problems! This course is designed for both beginners with some programming experience or experienced developers looking to make the jump to Data Science! This comprehensive course is comparable to other Data Science bootcamps that usually cost thousands of dollars, but now you can learn all that information at a fraction of the cost! With over 100 HD video lectures and this is one of the most comprehensive course for data science and machine learning on Udemy!  Show more",56%,36%,7%,1%,< 1%,ready start path becoming data scientist comprehensive course guide learning use power python analyze data create beautiful visualization use powerful machine learning algorithm data scientist ranked number one job glassdoor average salary data scientist 120 000 united state according indeed data science rewarding career allows solve world interesting problem course designed beginner programming experience experienced developer looking make jump data science comprehensive course comparable data science bootcamps usually cost thousand dollar learn information fraction cost 100 hd video lecture one comprehensive course data science machine learning udemy show,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Jose Portilla,13.99,84.99,165,25 ,All Levels
2,The Data Science Course 2021  Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",452453,11/2021,The course provides the entire toolbox you need to become a data scientist Fill up your resume with in demand data science skills  Statistical analysis  Python programming with NumPy  pandas  matplotlib  and Seaborn  Advanced statistical analysis  Tableau  Machine Learning with stats models and scikit learn  Deep learning with TensorFlow Impress interviewers by showing an understanding of the data science field Learn how to pre process data Understand the mathematics behind Machine Learning  an absolute must which other courses don t teach   Start coding in Python and learn how to use it for statistical analysis Perform linear and logistic regressions in Python Carry out cluster and factor analysis Show more,Requirements No prior experience is required  We will start from the very basics You ll need to install Anaconda  We will show you how to do that step by step Microsoft Excel 2003  2010  2013  2016  or 365,"Description The Problem Data scientist is one of the best suited professions to thrive this century. It is digital, programming-oriented, and analytical. Therefore, it comes as no surprise that the demand for data scientists has been surging in the job marketplace.      However, supply has been very limited. It is difficult to acquire the skills necessary to be hired as a data scientist.     And how can you do that?   Universities have been slow at creating specialized data science programs. (not to mention that the ones that exist are very expensive and time consuming)    Most online courses focus on a specific topic and it is difficult to understand how the skill they teach fit in the complete picture   Show more",54%,35%,9%,1%,1%,problem data scientist one best suited profession thrive century digital programming oriented analytical therefore come surprise demand data scientist surging job marketplace however supply limited difficult acquire skill necessary hired data scientist university slow creating specialized data science program mention one exist expensive time consuming online course focus specific topic difficult understand skill teach fit complete picture show,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,365 Careers  365 Careers Team,15.99,94.99,488,30 ,All Levels
3,R Programming A Z   R For Data Science With Real Exercises ,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",221022,12/2021,Learn to program in R at a good level Learn how to use R Studio Learn the core principles of programming Learn how to create vectors in R Learn how to create variables Learn about integer  double  logical  character and other types in R Learn how to create a while   loop and a for   loop in R Learn how to build and use matrices in R Learn the matrix   function  learn rbind   and cbind   Learn how to install packages in R Learn how to customize R studio to suit your preferences Understand the Law of Large Numbers Show more,Requirements,"Description Learn R Programming by doing! There are lots of R courses and lectures out there. However, R has a very steep learning curve and students often get overwhelmed. This course is different! This course is truly step-by-step. In every new tutorial we build on what had already learned and move one extra step forward. After every video, you learn a new valuable concept that you can apply right away. And the best part is that you learn through live examples. This training is packed with real-life analytical challenges which you will learn to solve. Some of these we will solve together, some you will have as homework exercises. In summary, this course has been designed for all skill levels and even if you have no programming or statistical background you will be successful in this course! Show more",59%,33%,6%,1%,1%,learn r programming lot r course lecture however r steep learning curve student often get overwhelmed course different course truly step step every new tutorial build already learned move one extra step forward every video learn new valuable concept apply right away best part learn live example training packed real life analytical challenge learn solve solve together homework exercise summary course designed skill level even programming statistical background successful course show,https://www.udemy.com/course/r-programming/,Kirill Eremenko  Ligency I Team  Ligency Team,13.99,84.99,82,10.5 ,All Levels
4,Deep Learning A Z   Hands On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,322765,12/2021,Understand the intuition behind Artificial Neural Networks Apply Artificial Neural Networks in practice Understand the intuition behind Convolutional Neural Networks Apply Convolutional Neural Networks in practice Understand the intuition behind Recurrent Neural Networks Apply Recurrent Neural Networks in practice Understand the intuition behind Self Organizing Maps Apply Self Organizing Maps in practice Understand the intuition behind Boltzmann Machines Apply Boltzmann Machines in practice Show more,Requirements,"Description *** As seen on Kickstarter *** Artificial intelligence is growing exponentially. There is no doubt about that. Self-driving cars are clocking up millions of miles, IBM Watson is diagnosing patients better than armies of doctors and Google Deepmind's AlphaGo beat the World champion at Go - a game where intuition plays a key role. But the further AI advances, the more complex become the problems it needs to solve. And only Deep Learning can solve such complex problems and that's why it's at the heart of Artificial intelligence. --- Why Deep Learning A-Z? --- Here are five reasons we think Deep Learning A-Z™ really is different, and stands out from the crowd of other training programs out there: 1. ROBUST STRUCTURE  Show more",54%,34%,9%,2%,1%, seen kickstarter artificial intelligence growing exponentially doubt self driving car clocking million mile ibm watson diagnosing patient better army doctor google deepmind alphago beat world champion go game intuition play key role ai advance complex become problem need solve deep learning solve complex problem heart artificial intelligence deep learning z five reason think deep learning z really different stand crowd training program 1 robust structure show,https://www.udemy.com/course/deeplearning/,Kirill Eremenko  Hadelin de Ponteves  Ligency I Team  Ligency Team,13.99,84.99,173,22.5 ,All Levels
5,Data Science A Z   Real Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",196191,12/2021,Successfully perform all steps in a complex Data Science project Create Basic Tableau Visualisations Perform Data Mining in Tableau Understand how to apply the Chi Squared statistical test Apply Ordinary Least Squares method to Create Linear Regressions Assess R Squared for all types of models Assess the Adjusted R Squared for all types of models Create a Simple Linear Regression  SLR  Create a Multiple Linear Regression  MLR  Create Dummy Variables Interpret coefficients of an MLR Read statistical software output for created models Show more,Requirements Only a passion for success All software used in this course is either available for Free or as a Demo version,"Description Extremely Hands-On... Incredibly Practical... Unbelievably Real! This is not one of those fluffy classes where everything works out just the way it should and your training is smooth sailing. This course throws you into the deep end. In this course you WILL experience firsthand all of the PAIN a Data Scientist goes through on a daily basis. Corrupt data, anomalies, irregularities - you name it! This course will give you a full overview of the Data Science journey. Upon completing this course you will know: How to clean and prepare your data for analysis How to perform basic visualisation of your data How to model your data How to curve-fit your data This course will give you so much practical exercises that real world will seem like a piece of cake when you graduate this class. This course has homework exercises that are so thought provoking and challenging that you will want to cry... But you won't give up! You will crush it. In this course you will develop a good understanding of the following tools: Show more",57%,33%,8%,1%,1%,extremely hand incredibly practical unbelievably real one fluffy class everything work way training smooth sailing course throw deep end course experience firsthand pain data scientist go daily basis corrupt data anomaly irregularity name course give full overview data science journey upon completing course know clean prepare data analysis perform basic visualisation data model data curve fit data course give much practical exercise real world seem like piece cake graduate class course homework exercise thought provoking challenging want cry give crush course develop good understanding following tool show,https://www.udemy.com/course/datascience/,Kirill Eremenko  Ligency I Team  Ligency Team,13.99,84.99,217,21 ,All Levels
6,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",124813,1/2021,Understand the fundamentals of statistics Learn how to work with different types of data How to plot different types of data Calculate the measures of central tendency  asymmetry  and variability Calculate correlation and covariance Distinguish and work with different types of distributions Estimate confidence intervals Perform hypothesis testing Make data driven decisions Understand the mechanics of regression analysis Carry out regression analysis Use and understand dummy variables Show more,Requirements Absolutely no experience is required  We will start from the basics and gradually build up your knowledge  Everything is in the course  A willingness to learn and practice,"Description Is statistics a driving force in the industry you want to enter? Do you want to work as a Marketing Analyst, a Business Intelligence Analyst, a Data Analyst, or a Data Scientist? Well then, you’ve come to the right place!   Statistics for Data Science and Business Analysis is here for you with TEMPLATES in Excel included!   This is where you start. And it is the perfect beginning!   In no time, you will acquire the fundamental skills that will enable you to understand complicated statistical analysis directly applicable to real-life situations. We have created a course that is:    Easy to understand   Comprehensive     Show more",51%,37%,10%,1%,1%,statistic driving force industry want enter want work marketing analyst business intelligence analyst data analyst data scientist well come right place statistic data science business analysis template excel included start perfect beginning time acquire fundamental skill enable understand complicated statistical analysis directly applicable real life situation created course easy understand comprehensive show,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,365 Careers  365 Careers Team,13.99,84.99,92,5 ,All Levels
7,Machine Learning  Data Science and Deep Learning with Python,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",157911,10/2021,Build artificial neural networks with Tensorflow and Keras Classify images  data  and sentiments using deep learning Make predictions using linear regression  polynomial regression  and multivariate regression Data Visualization with MatPlotLib and Seaborn Implement machine learning at massive scale with Apache Spark s MLLib Understand reinforcement learning   and how to build a Pac Man bot Classify data using K Means clustering  Support Vector Machines  SVM   KNN  Decision Trees  Naive Bayes  and PCA Use train test and K Fold cross validation to choose and tune your models Show more,Requirements You ll need a desktop computer  Windows  Mac  or Linux  capable of running Anaconda 3 or newer  The course will walk you through installing the necessary free software  Some prior coding or scripting experience is required  At least high school level math skills will be required ,"Description New! Updated for 2021 with extra content on generative models: variational auto-encoders (VAE's) and generative adversarial models (GAN's) Machine Learning and artificial intelligence (AI) is everywhere; if you want to know how companies like Google, Amazon, and even Udemy extract meaning and insights from massive data sets, this data science course will give you the fundamentals you need. Data Scientists enjoy one of the top-paying jobs, with an average salary of $120,000 according to Glassdoor and Indeed. That's just the average! And it's not just about money - it's interesting work too! If you've got some programming or scripting experience, this course will teach you the techniques used by real data scientists and machine learning practitioners in the tech industry - and prepare you for a move into this hot career path. This comprehensive machine learning tutorial includes over 100 lectures spanning 15 hours of video, and most topics include hands-on Python code examples you can use for reference and for practice. I’ll draw on to guide you through what matters, and what doesn’t.     Show more",56%,34%,8%,1%,1%,new updated 2021 extra content generative model variational auto encoders vae generative adversarial model gan machine learning artificial intelligence ai everywhere want know company like google amazon even udemy extract meaning insight massive data set data science course give fundamental need data scientist enjoy one top paying job average salary 120 000 according glassdoor indeed average money interesting work got programming scripting experience course teach technique used real data scientist machine learning practitioner tech industry prepare move hot career path comprehensive machine learning tutorial includes 100 lecture spanning 15 hour video topic include hand python code example use reference practice draw guide matter show,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,Sundog Education by Frank Kane  Frank Kane  Sundog Education Team,13.99,84.99,116,15.5 ,Beginner
8,Python A Z   Python For Data Science With Real Exercises ,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",136460,12/2021,Learn to program in Python at a good level Learn how to code in Jupiter Notebooks Learn the core principles of programming Learn how to create variables Learn about integer  float  logical  string and other types in Python Learn how to create a while   loop and a for   loop in Python Learn how to install packages in Python Understand the Law of Large Numbers,Requirements No prior knowledge or experience needed  Only a passion to be successful ,"Description Learn Python Programming by doing! There are lots of Python courses and lectures out there. However, Python has a very steep learning curve and students often get overwhelmed. This course is different! This course is truly step-by-step. In every new tutorial we build on what had already learned and move one extra step forward. After every video you learn a new valuable concept that you can apply right away. And the best part is that you learn through live examples. This training is packed with real-life analytical challenges which you will learn to solve. Some of these we will solve together, some you will have as homework exercises. In summary, this course has been designed for all skill levels and even if you have no programming or statistical background you will be successful in this course! Show more",56%,35%,7%,1%,1%,learn python programming lot python course lecture however python steep learning curve student often get overwhelmed course different course truly step step every new tutorial build already learned move one extra step forward every video learn new valuable concept apply right away best part learn live example training packed real life analytical challenge learn solve solve together homework exercise summary course designed skill level even programming statistical background successful course show,https://www.udemy.com/course/python-coding/,Kirill Eremenko  Ligency I Team  Ligency Team,13.99,84.99,75,11 ,All Levels
9,Artificial Intelligence A Z   Learn How To Build An AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",170713,12/2021,Build an AI Understand the theory behind Artificial Intelligence Make a virtual Self Driving Car Make an AI to beat games Solve Real World Problems with AI Master the State of the Art AI models Q Learning Deep Q Learning Deep Convolutional Q Learning A3C,Requirements High School Maths Basic Python knowledge,"Description *** AS SEEN ON KICKSTARTER *** Learn key AI concepts and intuition training to get you quickly up to speed with all things AI. Covering: How to start building AI with no previous coding experience using Python How to merge AI with OpenAI Gym to learn as effectively as possible How to optimize your AI to reach its maximum potential in the real world Here is what you will get with this course: 1. Complete beginner to expert AI skills – Learn to code self-improving AI for a range of purposes. In fact, we code together with you. Every tutorial starts with a blank page and we write up the code from scratch. This way you can follow along and understand exactly how the code comes together and what each line means. Show more",50%,33%,12%,3%,2%, seen kickstarter learn key ai concept intuition training get quickly speed thing ai covering start building ai previous coding experience using python merge ai openai gym learn effectively possible optimize ai reach maximum potential real world get course 1 complete beginner expert ai skill learn code self improving ai range purpose fact code together every tutorial start blank page write code scratch way follow along understand exactly code come together line mean show,https://www.udemy.com/course/artificial-intelligence-az/,Hadelin de Ponteves  Kirill Eremenko  Ligency I Team  SuperDataScience Support  Luka Anicin  Ligency Team  Jordan Sauchuk,21.99,129.99,122,16.5 ,All Levels
